1,62112,160990
1,62124,0
1,62132,6780
1,62295,264840
1,62364,0
1,62373,2450
1,77472,160
0,62048,0
0,62047,0
0,62046,790
0,62044,35270
0,62043,40330
0,62033,0
0,62001,206190
0,61886,0
1,62053,0
1,62061,34910
1,62063,0
1,62066,0
1,62066,790
1,62070,0
1,62085,70060
1,62087,215520
1,62093,70060
1,62112,0
1,62112,205510
1,62120,160970
1,62153,0
1,62305,265560
1,77471,160
0,62048,40330
0,62048,34860
0,62046,0
0,62044,0
0,62043,0
0,61981,60060
0,61966,0
0,61944,95090
0,61929,0
1,62061,0
1,62063,0
1,62065,32050
1,62115,0
1,62130,63240
1,62152,0
1,62167,90950
1,62189,17310
0,62048,0
0,62048,0
0,62046,0
0,62045,0
0,62042,0
0,62042,0
0,62040,33590
0,62036,0
